文本内容,时间,点赞,评论,转发
【#北斗高精度定位服务进大众手机#】北斗卫星导航系统新闻发言人冉承其：上半年，中国境内申请入网的智能手机中，128款支持北斗定位，出货量超1.3亿部，占上半年总出货量98%以上。手机地图导航中，#北斗定位服务日均使用量超1000亿次#。北斗高精度定位服务已进入大众手机。 http://t.cn/A6oHnFZN ???,Fri Nov 04 11:23:14 +0800 2022,1597,324,337
【#4分钟全身有氧#】①深蹲交替跳；②开合跳；③深蹲转体；④高抬腿。4分钟4个动作，全身综合训练，提高心肺，量力而行试试看！（湖南武警） http://t.cn/A6oHEvQE ???,Fri Nov 04 10:54:22 +0800 2022,4378,522,2393
【结穗！#太空水稻成熟了#】在中国空间站的生命生态实验柜中，水稻正茁壮成长。从7月底注入营养液以来，水稻经历了萌发、生长，并进入到成熟阶段。专家表示，对于水稻而言，完成从种子到种子的全生命周期培育，在国际上还是第一次。#世界首次太空水稻全生命周期培育#（央视） http://t.cn/A6oHHk0B ???,Fri Nov 04 10:11:37 +0800 2022,2250,516,668
【收藏！#新军功章高清大图#】新时代军队勋章、奖章、纪念章↓↓http://t.cn/A6oHjYx1 ???,Fri Nov 04 09:26:50 +0800 2022,4263,750,1759
【#11月3日新增704例本土确诊# #11月3日新增3167例本土无症状#】11月3日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例757例。其中境外输入病例53例，含5例由无症状感染者转为确诊病例；本土病例704例（内蒙古239例，广东195例，重庆41例，福建39例，北京32例，山西30例，河南2 ???,Fri Nov 04 09:05:16 +0800 2022,1527,458,298
【#国考报名人数超250万#】11月3日，2023年度国考报名结束。截至当日17：55，总报名人数已突破250万，相比2022年增加了50万人，同比增长25％，资格过审最大竞争比超5800：1。http://t.cn/A6oHAbmt ???,Fri Nov 04 08:20:31 +0800 2022,3533,902,817
【#九图速览进博会亮点展品#】11月5日至10日，第五届中国国际进口博览会将在上海国家会展中心举行。“超灵活”仿生手、增咸电子筷、手持居家染发神器…本届进博会又将迎来哪些亮点展品？戳图↓↓↓提前感受进博会的黑科技展品。#第五届进口博览会将于明日开幕# ???,Fri Nov 04 07:27:39 +0800 2022,1553,474,723
【保持好状态的9个习惯】一个人最好的状态是什么样？是学会认可自己，接受自己的不足同时不断精进自己；是学会对日常计划有清晰梳理并定期复盘；是乐于赞美别人；是永远保持年轻的心态，去探索，去拥抱新知…新的一天，也要保持好的状态，早安！ ???,Fri Nov 04 07:02:01 +0800 2022,4783,1967,2966
【#你好，明天#】喜提“新居”！神十四乘组顺利进入梦天实验舱。从“一”到“L”再到“T”，每一步都见证中国空间站高燃时刻；从单人单舱到多人多舱，再到两个乘组即将同时在轨，每一次进步都书写中国航天新华章。心怀山河，眼有星辰，把航天荣耀写满浩瀚太空！http://t.cn/A6oTUKvr ???,Thu Nov 03 23:00:47 +0800 2022,2979,1175,1301
【夜读：影响一生的5个自律法则】①从热爱的事情入手，在坚持自律的过程中感知快乐；②细分目标，按照计划执行可操作的小目标；③降低自律做事的门槛，以量变达成质变；④定期复盘总结，用复盘的方式跟踪进度，反思总结自律过程中的失误；⑤不急于求成，把眼光放长远。共勉！ http://t.cn/A6oHZscN ???,Thu Nov 03 22:23:53 +0800 2022,3310,1208,1613
【#入睡姿势对不对影响睡眠质量#】医生表示，睡前可以进行一个睡眠仪式，分三步：①搓掌熨目；②轻抚头发；③缓摩腹部。做完睡眠仪式后注意选择正确的入睡姿势，右侧卧和仰卧这两种入睡姿势适合绝大多数人。#睡前助眠仪式安排上#  http://t.cn/A6oTol5O ???,Thu Nov 03 21:52:04 +0800 2022,1712,463,791
【栩栩如生！#美术老师的粉笔画仿佛在发光#】近日，福建莆田一位47岁美术老师在黑板上用粉笔画画，引发广大网友的关注。网友：他是怎么把黑白画画成彩色的！下一步，林先生想以文字或视频的形式，教给更多人粉笔作画的技巧。http://t.cn/A6oTYRUk ???,Thu Nov 03 20:44:54 +0800 2022,6060,779,1008
【#大学校园秋日氛围感拉满# 】未觉池塘春草梦，阶前梧叶已秋声。金秋的大学校园色彩缤纷，展现出生机勃勃的景象。师生们与金秋撞个满怀，镜头下是一幅幅绝妙的校园秋景图，一起感受诗意盎然的秋天↓↓ http://t.cn/A6oTR0g6 ???,Thu Nov 03 20:11:36 +0800 2022,3027,1423,2031
【#100秒带你数读第五届进博会#】第五届中国国际进口博览会将于11月5日至10日在上海举行。第五届进博会是党的二十大后我国举办的首场重要国际展会。今年的进博会都有哪些亮点？戳视频↓↓一起去看看吧！ http://t.cn/A6oTmlsb ???,Thu Nov 03 19:37:34 +0800 2022,1100,198,316
【好萌！#熊猫宝宝学走路第一步是游旱泳#】?熊猫宝宝是怎么学习走路的呢？原来它们学走路的第一步是原地打转游旱泳！http://t.cn/A6oTV8Ik ???,Thu Nov 03 19:16:51 +0800 2022,2465,703,621
【#中国空间站三居成型#！#120秒重温中国空间站高燃时刻#】11月3日，中国空间站梦天实验舱完成转位，中国空间站“T”字基本构型在轨组装完成。随后，神舟十四号航天员乘组顺利进入梦天实验舱。从无到有，从“一”到“L”再到“T”，120秒重温中国空间站高燃时刻。 http://t.cn/A6oTQDSe ???,Thu Nov 03 18:27:04 +0800 2022,3817,833,1596
【#当新疆雪岭遇上绝美金色夕阳#】近日，新疆特克斯县塞克云端草原，群峰白雪皑皑，连绵起伏，夕阳下的天空被渲染成金色，晚霞仿佛为雪岭披上一层纱衣。落日余晖下，马儿在草原上惬意吃草，远观像一幅色彩浓郁的油画。http://t.cn/A6oTcBaJ ???,Thu Nov 03 17:51:26 +0800 2022,1892,663,517
【#外交部回应非洲对华好感度提升#】11月3日，外交部发言人赵立坚主持例行记者会。有记者提问，近日英国民调机构 YouGov一项调查结果显示，非洲国家民众近年对华好感度显著提升，你对此有何评论？对此，赵立坚表示，近年来，中方同有关国家开展“一带一路”合作稳步推进，蒙内铁路对肯尼亚经济增长拉动 ???,Thu Nov 03 17:13:47 +0800 2022,2113,371,328
【感动！#热心群众合力撑床单接住坠楼宝宝#】11月3日，四川南充，一名幼童爬出窗户跌落在棚顶，随时都有坠楼的可能。在幼童坠楼后的一瞬间，在场群众撑开床单合力接住孩子，孩子成功获救。网友：他们给了宝宝第二次生命！http://t.cn/A6oTKb91 ???,Thu Nov 03 16:49:37 +0800 2022,5326,492,530
【#1个动作有效缓解腰部受凉#】深秋时节，气温逐渐降低，可能会出现腰部疼痛的情况。专家教你?“两手攀足固肾腰”的动作，每天做6次，有助于改善腰凉、腰痛的情况。戳视频，学起来↓↓http://t.cn/A6oTNUEo ???,Thu Nov 03 16:23:25 +0800 2022,2044,270,1176
【#运油20在中国航展首次亮相#】11月3日中午，空军运油-20在珠海金湾机场降落。运油-20是我国自主研制生产的首款大型加油机，自列装以来多次参加演训活动。这次珠海之行是运油-20首次在中国航展上亮相。http://t.cn/A6oT6tgW ???,Thu Nov 03 15:48:37 +0800 2022,1203,233,249
【#神十四航天员乘组顺利进入梦天舱#】据中国载人航天工程办公室消息，北京时间2022年11月3日15时12分，神舟十四号航天员乘组顺利进入梦天实验舱。#中国将迎来首次航天员乘组在轨轮换#后续，神舟十四号航天员乘组将在空间站内先后迎接天舟五号货运飞船、神舟十五号载人飞船的访问，届时神舟十四号、十 ???,Thu Nov 03 15:18:50 +0800 2022,7505,1535,1969
【正在直播：#神十四乘组进入梦天舱#】今天下午，神舟十四号航天员乘组进入梦天实验舱。@人民日报 和你一同关注！  http://t.cn/A6oTouYU ???,Thu Nov 03 14:38:17 +0800 2022,5843,773,846
【兰州通报七里河儿童中毒事故】2022年11月1日，兰州市七里河区西园街道一名儿童一氧化碳中毒不幸死亡。现将调查情况通报如下↓↓（人民日报记者付文） http://t.cn/A6oTSd1N ???,Thu Nov 03 14:22:23 +0800 2022,1460,947,1175
【#8个动作自助燃脂训练#】①开合跳；②高抬腿；③深蹲；④登山者；⑤俯卧开合跳；⑥波比跳；⑦开合俯卧撑；⑧箭步跳。8个动作高效燃脂，量力而行，试试看！（人民武警） http://t.cn/A6oTafrk ???,Thu Nov 03 14:04:25 +0800 2022,2932,348,1666
【爷爷日记：只要她一生幸福，我就心满意足】近日，一份#爷爷的日记#火了。86岁老人陈千炜，从1999年到2020年，20多年的时间用4本日记，记录了孙女的成长点滴。孙女今年23岁，她说，爷爷日记里写着“只要她一生幸福，我就心满意足”。愿时光慢些！#爷爷日记里有孙女20年的成长#http://t.cn/A6oTtqg4  ???,Thu Nov 03 13:31:29 +0800 2022,4699,421,528
【#55款App侵犯个人信息被下架#】网信办依据《个人信息保护法》《App违法违规收集使用个人信息行为认定方法》等法律法规规定，下架55款App，责令限期整改80款App。经查，违法违规App存在强制索要非必要权限、未经单独同意向第三方共享精确位置信息、超范围收集上传通讯录等问题。http://t.cn/A6oTI1Iw ???,Thu Nov 03 12:37:30 +0800 2022,3709,2124,3415
【#故宫秋色壁纸上新#】金瓦红墙，草木纷繁，这是#色彩斑斓的秋日紫禁城#↓↓ @故宫博物院 ???,Thu Nov 03 11:43:51 +0800 2022,4956,1262,1708
【#中国算力总规模位居世界第二#】近年来，我国算力产业规模快速增长，算力总规模居全球第二。阿里云在今日云栖大会宣布其自研CPU倚天710已大规模应用，并以云的形式服务多家互联网科技企业，公司未来两年20%的新增算力将使用自研CPU。“希望中国云计算企业加大创新力度，让计算真正像水电气和网络一样 ???,Thu Nov 03 11:01:14 +0800 2022,2520,514,1649
【#G219新藏线上的烈士桥#】近日，G219新藏线，一组桥刷屏：红军桥、两当桥、祥榕桥、屏南桥、思远桥、延津桥、焯冉桥、漯河桥，这些以烈士及烈士故乡命名的桥，在英雄倒下的地方，铭记着他们的冲锋，回望着他们身后的万家灯火和父老乡亲。网友：#英雄倒下的地方有他的名字和故乡#http://t.cn/A6oTqwoo ???,Thu Nov 03 10:41:52 +0800 2022,2934,526,749
【#10秒看懂T字型的中国空间站#】梦天实验舱转位完成，#中国空间站T字基本构型完成#，将静待天舟五号货运飞船和神舟十五号载人飞船到来。祝贺！ http://t.cn/A6oTUKvr ???,Thu Nov 03 09:44:56 +0800 2022,11248,1782,2444
【祝贺！#梦天实验舱顺利完成转位#】北京时间11月3日，空间站梦天实验舱顺利完成转位。#神十四航天员将进入梦天实验舱#。梦天实验舱转位完成标志着中国空间站“T”字基本构型在轨组装完成，向着建成空间站的目标迈出了关键一步。#中国空间站T字基本构型完成#（余建斌）http://t.cn/A6oTUL1h ???,Thu Nov 03 09:34:31 +0800 2022,9180,1695,1970
【#梦天入列#！#中国空间站T字基本构型完成#】从“一”到“L”，再到“T”，这是中国空间站的“太空变形记”，也是一代代中国航天人接续奋进的印记。祝福中国航天，星辰大海，继续前进！ ???,Thu Nov 03 09:33:40 +0800 2022,1938,434,697
【正在直播！#梦天舱转位直播#】今天，梦天实验舱按计划实施转位，将从天和核心舱的前向对接口，平面转位90度，与空间站形成三舱T字基本构型。一起看↓↓加油，中国航天！  http://t.cn/A6oTLY8h ???,Thu Nov 03 09:16:57 +0800 2022,999,206,217
【#11月2日新增531例本土确诊# #11月2日新增2669例本土无症状#】11月2日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例581例。其中境外输入病例50例（福建20例，广东12例，北京6例，内蒙古2例，上海2例，江苏2例，云南2例，天津1例，浙江1例，河南1例，四川1例），含5例由无症 ???,Thu Nov 03 09:01:49 +0800 2022,606,292,152
【背后的故事：#长五首飞1分钟准备时曾面临中止#】2016年11月3日，中国推力最大的新一代运载火箭长征五号即将在海南文昌发射场迎来首次发射。而就在发射程序准备启动时，指挥室先后迎来了两次惊心动魄的瞬间。#长五首飞6周年#，一起了解长征五号首飞你不知道的事。http://t.cn/A6oTw0B7 ???,Thu Nov 03 08:45:04 +0800 2022,1179,448,554
【共赴“东方之约”！ #9组数字了解第五届进博会#】11月5日至10日，第五届进博会将于上海举办。本届进博会共有145个国家、地区和国际组织参展，世界500强和行业龙头企业超280家，回头率近90%；前四届进博会累计意向成交额达2700多亿美元。#第五届进口博览会#即将开幕，这些数字值得关注！ ???,Thu Nov 03 07:53:43 +0800 2022,2670,573,1404
【恭喜！#体操男团拿到巴黎入场券#】北京时间11月3日，在利物浦体操世锦赛男团决赛上，中国队以257.858的成绩夺得冠军，拿到巴黎奥运会资格！恭喜中国队的小伙子们！#中国体操男团世锦赛冠军# ???,Thu Nov 03 07:16:45 +0800 2022,8929,1215,1869
【去尝试、去挑战，你终会完成人生的进阶】坚持学习，保持知识的持续输入；沉下心来，集中注意力做好一件事；设立目标，一步步去实现；学会总结，增加对生活的掌控感…想成为更好的自己，那就尝试改变。自我提升的9个方法↓真正的捷径，是一步一个脚印。让自己变好的努力，什么时候开始都不晚。早安。 ???,Thu Nov 03 07:00:06 +0800 2022,3665,1725,2786
【#你好，明天#】祥榕桥、屏南桥，思远桥、延津桥……11座以烈士及烈士故乡命名的桥，伫立在喀喇昆仑。英雄桥是不朽丰碑，镌刻着烈士以身报国的壮举；英雄桥也是精神航标，指引着世人永葆家国情怀。英雄从未远离他们热爱的土地，他们会永驻一代代中国人的心中！http://t.cn/A6olT1wI ???,Wed Nov 02 23:01:42 +0800 2022,4149,849,764
【夜读：#风叮嘱我要热爱这个世界#】①一直要坚持前行，为了追上那个曾经赋予众望的自己；②你放不下人和事，岁月就会替你轻描淡写；③你所写到的惊艳，都曾被平庸历练；④没有过不去的经历，只有走不过的自己；⑤我曾见过光明炽热的他，靠着这个，我可以渡过所有寒冬。 http://t.cn/A6oYTFHY ???,Wed Nov 02 22:13:32 +0800 2022,3087,1262,1507
【致敬医者仁心！#医生请假为4岁男孩捐造血干细胞#】近日，湖北宜昌的肝胆外科医生王刚，请了一个“小长假”。他前往武汉为一名四岁男童捐献造血干细胞。捐献当天，他收到一封感谢信，孩子妈妈写道：“万分感谢你的捐献，给了我孩子延续生命的希望！”http://t.cn/A6ojvzLq ???,Wed Nov 02 21:37:15 +0800 2022,4251,465,410
【转！#2个动作预防骨质疏松#】试试这两个简单的动作，利用好每天走路的时间，就可以强健骨骼，预防骨质疏松。戳视频↓http://t.cn/A6ojeiDF ???,Wed Nov 02 20:57:24 +0800 2022,1139,289,497
【#陕西南宫山壮美云海景观#】日前，一场秋雨过后，陕西南宫山出现壮美云海景观。如潮水般的云海在层峦叠嶂的群山之间翻涌，山间云蒸雾绕，峰林时隐时现，犹如人间仙境。戳视频↓http://t.cn/A6oYcPUk ???,Wed Nov 02 20:18:32 +0800 2022,1476,519,490
【正在直播：#最美中国戏白蛇传#】作为我国四大民间传说之一，以“白蛇传”为题材的戏剧、影视作品层出不穷，不仅白娘子、许仙和小青成为了深入人心的艺术形象，西湖、断桥、雷峰塔、金山寺也是历久不衰的风景名胜。本期#最美中国戏#带你走进白素贞与许仙的千年爱情传奇。一起看↓   ???,Wed Nov 02 19:30:29 +0800 2022,2112,351,141091
【亮出武器！#空军飞行员如何处理外机挑衅#】“第一个动作他给我亮的机腹，告诉我他是满载的、他是挂弹的…”“如果他们进行挑衅的话，我们会回应，我们一样会亮出我们的武器！”“（外机）接近我们的这个承压范围，我们就要贴得更近，就相当于两个人肩并肩…”听空军飞行员讲述如何应对外机挑衅↓ ???,Wed Nov 02 18:52:08 +0800 2022,2134,485,552
【平凡而伟大！#一家五代人守护灯塔百余年#】宁波镇海一户叶姓人家，自清朝起五代人就在孤岛上守护着灯塔，与星辰大海相伴，为迷雾中船舶指明回家的道路，守护了东海之滨的12座灯塔，用生命践行了“人在灯在”灯塔精神。今年34岁的叶超群是第五代守塔人，已在宁波舟山港的七里屿灯塔上坚守了9年。 ???,Wed Nov 02 18:32:38 +0800 2022,1970,328,316
【现场视频！#第一视角看梦天与天和对接#】2022年11月1日，梦天实验舱成功对接于天和核心舱前向端口。目前梦天舱在轨运行稳定，状态良好，后续将按计划实施转位。#梦天与天和对接的太空现场视频#↓↓感受这份跨越晨昏线的美！http://t.cn/A6oYbYvD ???,Wed Nov 02 17:34:56 +0800 2022,1697,433,702
【重症患儿转运！#请避让辽HXY031救护车#】11月2日中午，载有小梓杉的转运救护车（辽HXY031）从河南安阳出发，预计18点左右到达北京的医院。2019年9月，双胞胎姐妹梓杉和梓桐出生，半岁时两人都患上SMA（脊髓性肌肉萎缩症），医生曾判断活不过两岁。如今，双胞胎三岁了，但最近姐姐梓杉病情恶化，需要 ???,Wed Nov 02 16:51:59 +0800 2022,2174,497,268
【#1分钟视频看空军超燃10年#】中俄巡航、警巡东海、战巡南海、砺兵台海、前出西太、绕岛巡航、砺剑高原、海外投送、抗疫救灾、接迎忠烈…强军10年，人民空军飞出新航迹。戳视频↓http://t.cn/A6oYt4Ht ???,Wed Nov 02 16:36:53 +0800 2022,1386,394,556
【#金秋甘孜每一帧都仿佛壁纸#】金秋时节，四川甘孜宛如打翻的调色盘，将醉人秋景渲染到极致。碧蓝的湖泊、金黄的树林与皑皑雪峰，勾勒出一幅绚丽多姿的秋日油画。http://t.cn/A6oYvpGz ???,Wed Nov 02 15:59:17 +0800 2022,1922,522,633
【#拖延症是不是一种病#】拖延症，是指我们在明知后果有害的情况下，仍不断地把计划好的事情往后推迟的一种行为。拖延症的人普遍具有过分地追求完美、遇到事情容易焦虑的性格特征。拖延症是不是一种病？如何克服拖延症？一起来看#克服拖延症的3个方法#↓↓↓http://t.cn/A6ojAaEv ???,Wed Nov 02 15:32:46 +0800 2022,1354,285,642
【转需！#4个动作缓解腰痛#】如果胸部、髋部灵活性不够，会使腰部发生代偿性劳损，发生腰部疼痛。一组简单易做的动作，锻炼胸部和髋部，间接放松腰椎。一起做↓↓（CCTV生活圈） http://t.cn/A6oY41By ???,Wed Nov 02 14:58:30 +0800 2022,1484,245,843
【努力的意义！#女生用视频记录备战艺考进步过程#】近日，山东青岛。舞蹈专业大一的吴同学分享了去年备战艺考的视频。从次次摔倒到稳稳站立，日复一日的重复练习让她的“前空翻”动作越来越熟练优美。她说，一定要坚持，要有勇气和毅力。 #艺考生练舞3个月进步肉眼可见#↓↓网友：锲而不舍，金石可镂。 ???,Wed Nov 02 14:37:32 +0800 2022,3966,340,447
【收藏！#故宫银杏壁纸#】故宫的银杏黄了。一片片金灿灿的银杏叶，在枝头摇曳。正值最美赏叶时，#秋日的故宫银杏金黄#，一起欣赏↓↓@故宫博物院 ???,Wed Nov 02 14:02:59 +0800 2022,6642,3029,5276
【#晚霞中的桂林山水好梦幻#】近日，广西桂林遇龙河。傍晚时分，绯红色的晚霞将天空和河面渲染成一色，绚丽如画。连绵起伏的山峦倒映在水面上，在霞光的映照下，黝黑的山影被清晰地勾画出来。#桂林遇龙河的晚霞美如画#↓↓http://t.cn/A6oY76sf ???,Wed Nov 02 13:36:41 +0800 2022,1885,445,469
【[话筒]注意！这些都是涉嫌非法社会组织】今天，#民政部公布10个涉嫌非法社会组织#，包括中国有机产品协会、中国舞蹈艺术家协会、全国企业质量监督管理中心、雷霆爱心公益基金会等。如发现这些组织的活动线索，请登录“中国社会组织政务服务平台”进行投诉举报。转扩↓↓避免上当受骗。 ???,Wed Nov 02 12:47:51 +0800 2022,4336,554,1138
【围观！#云游中国赏秋日美景#】正是秋意最浓时，今天我们走进新疆喀纳斯、婺源篁岭和内蒙古乌审旗，感受秋日的瑰丽壮阔。戳链接http://t.cn/A6oGb4jM，下载人民日报视频客户端，参与“醉美秋色”视频征集，尽享秋日最美时光。后续还将推出更多直播，分享各地秋日美景。一起看↓↓   ???,Wed Nov 02 12:02:24 +0800 2022,1081,329,287
【治愈！#延时摄影看太阳花绽放瞬间#】甘肃陇南，一位摄影师用延时摄影拍下五色太阳花绽放瞬间，黄色娇嫩，粉色浪漫，红色热烈……多彩花苞在绿叶中竞相盛放，戳视频↓↓感受美的绽放。http://t.cn/A6ojD1Fe ???,Wed Nov 02 11:44:16 +0800 2022,1596,405,474
【勇敢！#00后警校生跳下高墙救起1岁婴儿#】近日，河北石家庄。一个1岁婴儿从3楼坠落到小院，满脸是血。警校生闫单童听闻后，为救孩子，情急之下从3米高围墙跳进院中，最终孩子得救，他却足跟粉碎性骨折，被植入多根钢钉。他说一点也不后悔，救人是首位。愿早日康复！#警校生勇救1岁婴儿后右脚骨折# ???,Wed Nov 02 11:00:37 +0800 2022,8579,894,543
【新兵加油！#女兵入伍一个月对比照#[赞]】一个多月前，女新兵告别家乡和亲人，来到火热军营。充实的新训生活，虽然有苦有累，但也有声有色。转眼间，入伍已经“满月”，军人的样子在她们身上越来越清晰……#陆军女兵入伍前VS入伍后#↓↓ http://t.cn/A6oj1LwH ???,Wed Nov 02 10:23:32 +0800 2022,4540,715,443
【收藏！党的#二十大报告提到的中国古语#】天下为公、民为邦本、为政以德、革故鼎新、任人唯贤……党的二十大报告，提到了这几个中国古语↓↓转存学习！ ???,Wed Nov 02 09:33:56 +0800 2022,6293,925,5467
【#11月1日新增409例本土确诊# #11月1日新增2346例本土无症状#】11月1日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例465例。其中境外输入病例56例（福建18例，广东10例，上海8例，四川7例，北京5例，云南2例，天津1例，内蒙古1例，辽宁1例，黑龙江1例，浙江1例，山东1例）， ???,Wed Nov 02 09:02:13 +0800 2022,738,391,199
【天气渐冷，#羽绒服怎么选#？】#羽绒服保暖与否看绒子含量# 今年冬天将是羽绒服新国标落地后的首个销售季。在以往标准中，含绒量囊括绒子和从绒子或毛片根部脱落下来的单根绒丝两种含量，绒丝废料计入含绒量，易给消费者造成错觉。新国标实施后，服装成品绒子含量不低于50%，才能称之为羽绒服↓↓ ???,Wed Nov 02 08:24:54 +0800 2022,1411,466,571
【感受山河秋色！#当秋天遇上古诗词有多美#[心]】“落霞与孤鹜齐飞，秋水共长天一色”、“山明水净夜来霜，数树深红出浅黄”、“树树皆秋色，山山唯落晖”……深秋至，祖国大地进入高饱和模式。#2022秋日余额已不足#，一起体会古人笔下的浪漫秋意↓↓↓ http://t.cn/A6ojmhOm ???,Wed Nov 02 07:42:02 +0800 2022,7409,1428,3197
【认真对待现在，就是给未来最好的安排】时间不会为任何人停留，开心是一天，不开心也是一天，最好的脚步就是行动。不在冲动时做决定，不与无关紧要的人和事纠缠，不将他人评价当作人生标尺……每个人的人生，都是自己量身定制。认真对待现在，就是给未来最好的安排。加油，早安。 ???,Wed Nov 02 07:00:43 +0800 2022,6055,2418,4155
【#你好，明天#】厉害！梦天实验舱总装团队平均年龄33岁。从研制团队，到总装团队，再到承担发射任务，越来越多的年轻人担大任、挑大梁，他们是可堪大用、能担重任的栋梁之才。追光逐梦，用强烈的使命感托举航天梦，用深沉的责任感书写精彩人生，致敬青春，致敬奋斗！ ???,Tue Nov 01 23:04:42 +0800 2022,3644,1164,948
【夜读：#内心强大的人有这五种特质#】①遇事能扛：人生从外打破是压力，从内打破是成长。②行事沉稳：宠辱不惊，得失泰然，就是内心强大的人。③事过翻篇：不纠结过往，只为腾出双手，拥抱现在和未来。④不怕失败：纵有疾风起，人生不言弃。⑤学会独处：拥有了独处的能力，才能活出独立的人格。  ???,Tue Nov 01 21:49:20 +0800 2022,4540,1721,2659
【#2022架无人机光影秀拼出大国重器#】10月30日，@南京航空航天大学 70周年校庆上，2022架无人机组成编队，在夜空中上演一场光影秀。C919国产大飞机冲上云霄，武直-10鹰击长空，火箭扶摇直上叩问苍穹…戳视频↓感受震撼瞬间！（中国青年报） http://t.cn/A6ojMdtV ???,Tue Nov 01 21:05:41 +0800 2022,6723,960,1483
【马住！#一套动作保护颈椎健康#】如果你经常有脖子痛、后背痛、腰痛等症状，要当心是不是颈椎出现了问题，试试#一个动作自测颈椎健康程度#。颈椎病如不及时控制，可能会引发多种病症。一套简单动作，经常练一练，保护颈椎健康↓↓一起动起来~ http://t.cn/A6ig7cLG ???,Tue Nov 01 20:07:54 +0800 2022,4634,531,2776
【“天鲲”来了！#带你走近国产重型挖泥船#】近日，“天鲲号”再次现身黄海，提速连云港航道建设。它是我国自主设计建造、当前#亚洲最大重型自航绞吸挖泥船#。潜入海中，绞刀飞转，将泥沙碎岩输送到几公里外堆填地，是港口建设、航道疏浚、造陆成岛的利器。“天鲲”来了，感受“国之重器”大担当！  ???,Tue Nov 01 19:50:27 +0800 2022,1588,323,394
【浪漫！#90后博士在火箭发射现场求婚#】10月31日，海南文昌。杭州90后博士孟令强在火箭发射现场向女友求婚。当天，搭载空间站梦天实验舱的长征五号B遥四运载火箭准时点火发射。孟令强是国科大杭州高等研究院特聘副研究员，和女友相恋的两年中，他没日没夜地工作，屡屡“爽约”和女友的约定，却仍然得 ???,Tue Nov 01 19:18:13 +0800 2022,3041,495,366
【赵立坚：#期待中国空间站成全人类太空之家#】11月1日，外交部发言人赵立坚表示，中国已经与多个航天机构和组织签署合作协议，实施了形式多样的合作项目。中国空间站是历史上此类项目首次向所有联合国会员国开放。目前已有瑞士、波兰、德国、意大利等#17个国家科学实验项目入选中国空间站#。期待中国 ???,Tue Nov 01 18:21:16 +0800 2022,2762,699,836
【#颜宁将回国协助创建医学科学院#】11月1日，在2022深圳全球创新人才论坛上，著名结构生物学家颜宁宣布，即将辞去美国普林斯顿大学分子生物学系雪莉·蒂尔曼终身讲席教授一职，到深圳协助创立一所集科研、学生培养、经费资助等若干功能于一体的新型研发机构——深圳医学科学院。#颜宁宣布离美归国#   ???,Tue Nov 01 17:46:39 +0800 2022,3355,504,533
【泪目！#逝去的英雄化身为新藏线上的桥梁#】我们就是祖国的界碑，脚下的每一寸土地，都是祖国的领土。“红军桥、思远桥、祥榕桥、焯冉桥…”逝去的英雄，化身为G219新藏线上的桥梁之名，守卫在祖国的边疆。致敬！#新藏线上的桥梁以他们名字命名#http://t.cn/A6olT1wI ???,Tue Nov 01 17:13:41 +0800 2022,3519,482,673
【#万一发现间谍线索要及时打12339#】拍拍风景就能赚钱的兼职可能会危害国家安全，有时候你认为美好的恋情可能是间谍的圈套...在很多人眼中，间谍可能只会出现在影视剧当中，对于普通人来说既神秘又遥远。但事实上，他们就隐藏在普通人身边。如果发现危害国家安全的可疑情况，请及时拨打12339国家安全 ???,Tue Nov 01 16:45:59 +0800 2022,2665,531,996
【别眨眼！#延时记录白色睡莲开放瞬间#】近日，重庆一位摄影师用延时摄影记录了白色重瓣睡莲绽放全过程。洁白花瓣缓缓展开，层次分明，美丽令人难忘。http://t.cn/A6oWiHGZ ???,Tue Nov 01 16:17:43 +0800 2022,1826,469,587
【好美！#终南山千年银杏树金秋滤镜拉满#?】近日，西安终南山脚下古观音禅寺，千年银杏树满目金黄，熠熠生辉。古观音禅寺始建于唐贞观二年，见证了1400多年的光阴流转。#千年银杏身披金甲有多绝# http://t.cn/A6olWdfe ???,Tue Nov 01 15:45:26 +0800 2022,3562,571,1031
【收藏！#梦天发射高清图集#】10月31日下午，梦天实验舱发射升空。圆梦星辰，筑梦寰宇，一组#高清大图记录梦天出征#↓↓传递，为中国航天加油！http://t.cn/A6olepnF ???,Tue Nov 01 15:16:43 +0800 2022,1991,413,612
【#张桂梅说山高路远挡不住孩子求学脚步#[心]】10月31日，云南丽江华坪女子高中。张桂梅老师说：“山高、路远、水长，再也挡不住山里孩子们求学的脚步。”“我们所有山区的老师，一定能为党育人、为国育才。”网友：辛苦了，张老师！http://t.cn/A6olHGi3 ???,Tue Nov 01 14:48:30 +0800 2022,2290,269,669
【#秋日盐湖美如七彩调色盘#】近日，山西运城。盐湖变身“调色盘”，湖水颜色各异，在航拍镜头下，宛如一幅色彩缤纷的油画。#航拍秋日盐湖有多美# ???,Tue Nov 01 14:07:31 +0800 2022,3022,552,779
